Days,A,B,C,D,E,F,G,H
0,100,100,100,100,100,100,100,100
1,98.74621996,100.1529501,121.3776766,96.47727419,96.30815079,99.90117377,100.9500096,100.9744678
2,98.97102144,100.887678,149.6097767,97.11201693,117.7367377,100.8718041,101.475026,100.2934905
3,100.7551923,100.3046702,139.4638596,98.15929529,123.1942354,101.9271776,99.72502227,99.19159973
4,104.1050146,102.1886512,162.3345818,101.6185477,131.7015182,98.85741193,99.03752462,100.5284217
5,106.2411612,105.1618764,157.1767926,101.8724164,120.0642304,99.72676081,100.4750239,100.7661431
6,106.6396482,103.8574616,149.1686464,104.1256734,112.9213441,98.84144983,98.3250269,100.3154278
7,105.3218951,105.6457664,144.6555889,108.3782937,101.2038364,97.93407807,99.02501316,99.84799682
8,107.1284066,106.9165696,138.2762163,103.2370786,96.86999501,97.53430688,98.77498977,99.11445161
9,106.3798426,106.4667357,131.8968437,107.4262255,88.34269327,96.99835244,99.63751828,99.61748906
10,106.3925236,105.2763751,138.2762163,114.1859715,92.85710568,99.30789078,100.7125358,99.03849543
11,106.850201,106.848227,149.2704537,110.8854194,109.309843,100.4383916,99.77503762,99.23325682
12,107.7053821,106.8587446,164.1330168,110.3776403,104.0930853,102.2769045,98.04998822,100.0303215
13,105.8286806,108.098018,176.9256892,112.2183366,103.5313211,101.3307152,95.97499903,100.2032496
14,104.7999594,105.3061286,187.9538537,115.5189304,98.39483146,102.4556629,97.39998683,100.8782417
15,106.2159297,106.162643,178.9277257,111.1075431,109.1492669,102.4071951,99.53751806,100.9341422
16,105.6432213,107.023991,185.6464213,116.7883074,108.0256505,100.3292835,100.3125121,101.3410173
17,103.7986622,108.4852927,212.0122192,112.0279246,116.8539094,98.49124874,101.7249808,101.1615323
18,102.7731189,109.9733762,196.40313,131.259901,114.4462286,98.39384436,102.5125396,99.76529232
19,99.53856041,107.5220114,205.7685809,132.2198909,118.1380538,99.57598195,101.999989,99.94102056
20,102.5846925,106.8082432,190.0237574,124.6040715,113.5633923,99.74342768,101.9625309,100.0450987
21,102.5259577,106.2337758,184.1873093,120.5082399,111.7174998,101.5638248,102.9500139,100.4158184
22,105.7203846,104.4861332,187.3770021,124.3160954,113.0818402,101.3377144,103.0250293,101.1604489
23,106.120273,107.9998413,216.3895553,119.0362555,118.2985739,99.73750276,102.3750127,101.8444729
24,104.8623871,108.1725706,218.7648548,118.4282911,113.9646845,98.46044232,102.3625165,101.4057438
25,104.3844025,106.665328,228.571436,111.9965135,112.359564,98.23617434,103.1000371,101.2218363
26,106.345371,105.8696734,218.6969747,113.5964715,101.2841044,97.58181982,102.8000212,101.9910473
27,105.9903036,102.5090177,219.5452951,119.2602489,105.6179778,95.35534723,103.7499851,101.2137008
28,106.8186765,100.8971545,221.0722872,117.9162882,102.4076647,95.37872138,103.3125261,101.3004183
29,106.0556104,102.4886816,211.0281645,112.4765042,109.4703391,95.73401195,104.5375363,102.1558536
30,106.6317722,103.8889895,238.3780171,111.0045114,120.7062546,95.59267304,104.1250012,102.5184964
31,106.5112661,104.4072322,256.09095,102.620817,141.8939973,95.20415091,106.2750286,101.823123
32,109.6197362,104.6038206,270.6141902,100.1888927,132.2631943,95.74867414,106.5250292,103.0496784
33,111.5049957,102.0896348,257.0410647,86.55732885,131.139674,95.74112003,105.7125084,101.8809783
34,111.0849635,104.9680436,255.3104839,90.237194,139.6468927,96.86633257,105.4625383,102.7122351
35,111.7881468,104.4528349,257.889385,104.1888046,138.5232683,97.74003518,104.1375126,102.0810214
36,111.7048178,103.7393791,272.3108309,107.5166526,136.7576438,96.68561135,101.825042,102.3855263
37,111.6183196,104.9405124,308.9243401,99.22890289,134.8314511,96.07000315,99.73752611,103.5150664
38,110.5687771,105.6825906,322.8028486,106.2687033,135.5136654,95.2834529,99.50001417,103.2513046
39,110.2733075,104.1783141,346.7254927,101.8528585,141.0915092,95.55026206,97.30000948,103.761193
40,106.9762432,102.7329655,313.1320018,106.1406963,146.5489829,95.30141572,97.15000916,102.775001
41,105.8598799,102.5774967,296.0298605,102.3008204,150.6420282,96.10913991,92.30001405,102.7844293
42,104.5326435,102.6180821,279.3349223,96.06100729,168.940562,95.5625594,93.52501666,103.1849735
43,105.6486885,102.2955822,304.4791498,92.15714034,172.5722582,95.22920423,87.73751575,102.9397172
44,103.4044296,101.4373982,261.3166065,87.99725104,163.9646164,93.68957312,89.5500158,102.6187176
45,104.0870303,103.0284431,247.9131295,87.19728871,156.6613301,93.81740969,85.59910064,102.2102998
46,107.1762653,105.6124831,252.833403,96.1570188,157.8651425,95.12386294,90.06589621,103.3804661
47,108.494212,102.6473947,232.5076289,95.22903277,162.359576,96.90939003,90.59437951,103.8549115
48,106.873966,103.9772823,222.7349878,99.99688643,158.0256786,95.63907631,93.47577852,103.2471274
49,107.5151035,103.8492862,226.1622093,105.276718,163.0015761,97.71919912,92.48173495,103.3157907
50,108.7494378,104.3171246,204.8184663,105.4367372,162.8410401,97.25386921,93.31218476,102.7978655
