Date,Open,High,Low,Close,Adj Close,Volume
1999/1/4,123.375,125.21875,121.71875,123.03125,79.46398163,9450400
1999/1/5,122.9375,124.875,122.9375,124.4375,80.37228394,8031000
1999/1/6,125.8125,127.75,125.75,127.4375,82.30991364,7737700
1999/1/7,126.375,127.21875,125.78125,126.8125,81.90628052,5504900
1999/1/8,128.1875,128.5,125.96875,127.75,82.51176453,6224400
1999/1/11,127.6875,127.6875,125.21875,126.53125,81.72458649,7578300
1999/1/12,126.21875,126.21875,123.75,124.25,80.25118256,7768800
1999/1/13,120.40625,125.125,120.375,123.375,79.68603516,10810600
1999/1/14,123.625,123.90625,120.90625,121.21875,78.2933197,11400700
1999/1/15,122.375,124.78125,122.0625,124.375,80.33187103,7817700
1999/1/19,125.296875,125.625,123.5,125.1875,80.85670471,6535100
1999/1/20,126.09375,127.9375,125.03125,126.1875,81.50254822,6534400
1999/1/21,125.578125,125.84375,122.59375,122.84375,79.34291077,6937500
1999/1/22,122.125,123.84375,121.78125,122.5625,79.16123199,7522300
1999/1/25,123.28125,124,121.90625,123.8125,79.96859741,5700300
1999/1/26,124.125,126.0625,123.625,126.0625,81.42182922,6047000
1999/1/27,126.375,126.625,124.15625,124.59375,80.47319031,7399400
1999/1/28,125.25,126.96875,125.1875,126.6875,81.8254776,5961700
1999/1/29,127.34375,128.296875,125.40625,127.65625,82.45119476,6456800
1999/2/1,128.6875,128.6875,126.90625,126.90625,81.96681976,9426800
1999/2/2,127.078125,127.21875,124.765625,126.125,81.46219635,9194500
1999/2/3,125.6875,127.9375,125.65625,127.40625,82.28975677,10290700
1999/2/4,127.375,127.5,124.78125,125.5,81.05852509,7761100
1999/2/5,125.65625,125.65625,123.21875,124.0625,80.13005829,7516100
1999/2/8,125.09375,125.09375,123.34375,124.3125,80.29152679,8528400
1999/2/9,124.375,124.5,121.515625,121.53125,78.49516296,8985700
1999/2/10,122.125,123,121.328125,122.3125,78.99979401,6936700
1999/2/11,123.0625,126.09375,122.5,125.125,80.81630707,9181800
1999/2/12,124.8125,125.5,122.625,123.625,79.84750366,10676600
1999/2/16,124.75,125.625,122.875,122.875,79.36305237,6915500
1999/2/17,123.1875,125.359375,122.25,122.75,79.28235626,7858100
1999/2/18,123.1875,124.375,122.21875,123.71875,79.90803528,9048900
1999/2/19,124,125.75,123.375,124.25,80.25118256,5312200
1999/2/22,124.4375,127.71875,124.28125,127.5625,82.39065552,10695800
1999/2/23,127.59375,128.5,126.59375,127.5,82.35031891,7770700
1999/2/24,127.84375,128.84375,125,125.25,80.89701843,7271000
1999/2/25,124.53125,125.28125,122.6875,124.0625,80.13005829,11633000
1999/2/26,124.75,124.84375,122.8125,123.5625,79.80713654,9621300
1999/3/1,123.65625,124.3125,122.375,123.90625,80.02916718,7607200
1999/3/2,124.5,125.3125,122.3125,122.8125,79.32272339,9651500
1999/3/3,123.09375,123.5625,121.78125,123.46875,79.74656677,7881400
1999/3/4,124.0625,125.484375,123.265625,125.03125,80.75576782,8256400
1999/3/5,127.5,128.125,126.5625,127.546875,82.38059235,10703100
1999/3/8,128.28125,128.796875,127.25,128.375,82.91543579,4802200
1999/3/9,128.125,129.9375,127.75,128.0625,82.71360779,7893400
1999/3/10,128.46875,129.25,127.78125,129.1875,83.44020081,3950000
1999/3/11,129.6875,131.1875,128.875,130.625,84.36865234,6583700
1999/3/12,131,131.03125,129.21875,129.375,83.56131744,5286500
1999/3/15,129.9375,131.25,129.5,131.21875,84.75217438,5394400
1999/3/16,131.125,131.65625,130.46875,130.71875,84.42922974,4547500
1999/3/17,130.6875,130.9375,129.625,130.15625,84.0659256,4524100
1999/3/18,129.78125,132.375,129.75,132.25,85.41824341,3506300
1999/3/19,132.3125,132.625,129.6875,129.6875,83.96634674,5526700
1999/3/22,130.0625,130.59375,129.421875,129.9375,84.12819672,4603800
